"V1" "V2" "V3" "V4" "V5"
"288" "31299" "16" "630" "1e+05" "N2_RNAi1_star2"
"289" "31217" "18" "638" "1e+05" "N2_RNAi1_star2"
"290" "31035" "19" "650" "1e+05" "N2_RNAi1_star2"
"291" "31084" "27" "634" "1e+05" "N2_RNAi1_star2"
"292" "30880" "24" "641" "1e+05" "N2_RNAi1_star2"
"293" "31245" "21" "648" "1e+05" "N2_RNAi1_star2"
"294" "31360" "24" "652" "1e+05" "N2_RNAi1_star2"
"295" "31292" "16" "636" "1e+05" "N2_RNAi1_star2"
"296" "31088" "17" "651" "1e+05" "N2_RNAi1_star2"
"297" "31301" "28" "648" "1e+05" "N2_RNAi1_star2"
"298" "31131" "23" "662" "1e+05" "N2_RNAi1_star2"
"299" "31203" "19" "663" "1e+05" "N2_RNAi1_star2"
"300" "31295" "18" "636" "1e+05" "N2_RNAi1_star2"
"301" "62138" "27" "1090" "250000" "N2_RNAi1_star2"
"302" "62126" "42" "1096" "250000" "N2_RNAi1_star2"
"303" "62134" "30" "1070" "250000" "N2_RNAi1_star2"
"304" "62229" "30" "1054" "250000" "N2_RNAi1_star2"
"305" "62209" "32" "1044" "250000" "N2_RNAi1_star2"
"306" "62102" "36" "1075" "250000" "N2_RNAi1_star2"
"307" "61867" "37" "1036" "250000" "N2_RNAi1_star2"
"308" "62003" "32" "1101" "250000" "N2_RNAi1_star2"
"309" "62286" "33" "1101" "250000" "N2_RNAi1_star2"
"310" "62163" "37" "1060" "250000" "N2_RNAi1_star2"
"311" "62252" "34" "1081" "250000" "N2_RNAi1_star2"
"312" "62062" "33" "1099" "250000" "N2_RNAi1_star2"
"313" "62197" "35" "1039" "250000" "N2_RNAi1_star2"
"314" "62152" "28" "1081" "250000" "N2_RNAi1_star2"
"315" "62123" "41" "1015" "250000" "N2_RNAi1_star2"
"316" "99908" "50" "1467" "5e+05" "N2_RNAi1_star2"
"317" "99863" "50" "1455" "5e+05" "N2_RNAi1_star2"
"318" "99901" "46" "1466" "5e+05" "N2_RNAi1_star2"
"319" "99918" "55" "1478" "5e+05" "N2_RNAi1_star2"
"320" "99817" "49" "1522" "5e+05" "N2_RNAi1_star2"
"321" "99673" "45" "1479" "5e+05" "N2_RNAi1_star2"
"322" "99891" "55" "1470" "5e+05" "N2_RNAi1_star2"
"323" "100044" "49" "1484" "5e+05" "N2_RNAi1_star2"
"324" "99746" "52" "1475" "5e+05" "N2_RNAi1_star2"
"325" "100018" "58" "1460" "5e+05" "N2_RNAi1_star2"
"326" "100219" "47" "1453" "5e+05" "N2_RNAi1_star2"
"327" "99882" "57" "1492" "5e+05" "N2_RNAi1_star2"
"328" "99721" "51" "1466" "5e+05" "N2_RNAi1_star2"
"329" "99894" "46" "1493" "5e+05" "N2_RNAi1_star2"
"330" "100124" "57" "1490" "5e+05" "N2_RNAi1_star2"
"331" "150556" "75" "1875" "1e+06" "N2_RNAi1_star2"
"332" "150279" "72" "1875" "1e+06" "N2_RNAi1_star2"
"333" "150565" "68" "1900" "1e+06" "N2_RNAi1_star2"
"334" "150801" "64" "1940" "1e+06" "N2_RNAi1_star2"
"335" "150325" "72" "1882" "1e+06" "N2_RNAi1_star2"
"336" "150538" "72" "1897" "1e+06" "N2_RNAi1_star2"
"337" "150230" "73" "1887" "1e+06" "N2_RNAi1_star2"
"338" "150421" "71" "1915" "1e+06" "N2_RNAi1_star2"
"339" "150304" "72" "1885" "1e+06" "N2_RNAi1_star2"
"340" "150825" "78" "1916" "1e+06" "N2_RNAi1_star2"
"341" "150454" "74" "1891" "1e+06" "N2_RNAi1_star2"
"342" "149898" "73" "1879" "1e+06" "N2_RNAi1_star2"
"343" "150771" "67" "1917" "1e+06" "N2_RNAi1_star2"
"344" "150381" "75" "1910" "1e+06" "N2_RNAi1_star2"
"345" "150143" "78" "1879" "1e+06" "N2_RNAi1_star2"
"346" "206063" "85" "2263" "2e+06" "N2_RNAi1_star2"
"347" "205919" "93" "2243" "2e+06" "N2_RNAi1_star2"
"348" "205872" "87" "2238" "2e+06" "N2_RNAi1_star2"
"349" "205835" "95" "2265" "2e+06" "N2_RNAi1_star2"
"350" "206219" "91" "2244" "2e+06" "N2_RNAi1_star2"
"351" "206097" "89" "2271" "2e+06" "N2_RNAi1_star2"
"352" "205844" "97" "2251" "2e+06" "N2_RNAi1_star2"
"353" "205932" "89" "2234" "2e+06" "N2_RNAi1_star2"
"354" "206035" "88" "2238" "2e+06" "N2_RNAi1_star2"
"355" "205903" "92" "2229" "2e+06" "N2_RNAi1_star2"
"356" "205957" "90" "2253" "2e+06" "N2_RNAi1_star2"
"357" "206037" "93" "2259" "2e+06" "N2_RNAi1_star2"
"358" "206173" "98" "2244" "2e+06" "N2_RNAi1_star2"
"359" "206168" "91" "2249" "2e+06" "N2_RNAi1_star2"
"360" "205893" "102" "2225" "2e+06" "N2_RNAi1_star2"
"361" "236403" "93" "2417" "3e+06" "N2_RNAi1_star2"
"362" "236511" "101" "2410" "3e+06" "N2_RNAi1_star2"
"363" "236448" "98" "2411" "3e+06" "N2_RNAi1_star2"
"364" "235847" "107" "2411" "3e+06" "N2_RNAi1_star2"
"365" "235900" "96" "2408" "3e+06" "N2_RNAi1_star2"
"366" "236223" "98" "2403" "3e+06" "N2_RNAi1_star2"
"367" "236108" "96" "2401" "3e+06" "N2_RNAi1_star2"
"368" "236028" "98" "2383" "3e+06" "N2_RNAi1_star2"
"369" "236264" "102" "2383" "3e+06" "N2_RNAi1_star2"
"370" "236297" "98" "2376" "3e+06" "N2_RNAi1_star2"
"371" "236338" "102" "2407" "3e+06" "N2_RNAi1_star2"
