"V1" "V2" "V3" "V4" "V5"
"367" "208613" "101" "2418" "60" "N2_EV2_star2"
"368" "208250" "81" "2408" "60" "N2_EV2_star2"
"369" "208372" "98" "2425" "60" "N2_EV2_star2"
"370" "208418" "88" "2420" "60" "N2_EV2_star2"
"371" "208085" "94" "2445" "60" "N2_EV2_star2"
"372" "208283" "90" "2423" "60" "N2_EV2_star2"
"373" "208173" "96" "2415" "60" "N2_EV2_star2"
"374" "208577" "94" "2419" "60" "N2_EV2_star2"
"375" "208246" "96" "2427" "60" "N2_EV2_star2"
"376" "215959" "111" "2447" "70" "N2_EV2_star2"
"377" "215628" "102" "2472" "70" "N2_EV2_star2"
"378" "215668" "106" "2444" "70" "N2_EV2_star2"
"379" "215724" "101" "2452" "70" "N2_EV2_star2"
"380" "215743" "96" "2470" "70" "N2_EV2_star2"
"381" "215509" "103" "2452" "70" "N2_EV2_star2"
"382" "216037" "90" "2450" "70" "N2_EV2_star2"
"383" "216053" "103" "2449" "70" "N2_EV2_star2"
"384" "216117" "107" "2448" "70" "N2_EV2_star2"
"385" "216060" "102" "2438" "70" "N2_EV2_star2"
"386" "216033" "89" "2473" "70" "N2_EV2_star2"
"387" "215781" "102" "2461" "70" "N2_EV2_star2"
"388" "216006" "98" "2442" "70" "N2_EV2_star2"
"389" "215732" "105" "2440" "70" "N2_EV2_star2"
"390" "215594" "93" "2460" "70" "N2_EV2_star2"
"391" "222104" "110" "2482" "80" "N2_EV2_star2"
"392" "222109" "95" "2502" "80" "N2_EV2_star2"
"393" "222222" "114" "2491" "80" "N2_EV2_star2"
"394" "222273" "103" "2503" "80" "N2_EV2_star2"
"395" "222251" "111" "2489" "80" "N2_EV2_star2"
"396" "222053" "101" "2480" "80" "N2_EV2_star2"
"397" "222035" "105" "2485" "80" "N2_EV2_star2"
"398" "221852" "102" "2504" "80" "N2_EV2_star2"
"399" "221811" "115" "2494" "80" "N2_EV2_star2"
"400" "221943" "103" "2471" "80" "N2_EV2_star2"
"401" "222034" "98" "2497" "80" "N2_EV2_star2"
"402" "222129" "96" "2490" "80" "N2_EV2_star2"
"403" "222010" "103" "2491" "80" "N2_EV2_star2"
"404" "222158" "107" "2513" "80" "N2_EV2_star2"
"405" "222080" "100" "2495" "80" "N2_EV2_star2"
"406" "227268" "110" "2524" "90" "N2_EV2_star2"
"407" "227137" "118" "2502" "90" "N2_EV2_star2"
"408" "227404" "108" "2500" "90" "N2_EV2_star2"
"409" "227422" "110" "2513" "90" "N2_EV2_star2"
"410" "227328" "110" "2524" "90" "N2_EV2_star2"
"411" "227471" "102" "2511" "90" "N2_EV2_star2"
"412" "227329" "108" "2512" "90" "N2_EV2_star2"
"413" "227361" "107" "2511" "90" "N2_EV2_star2"
"414" "227487" "114" "2511" "90" "N2_EV2_star2"
"415" "227324" "116" "2508" "90" "N2_EV2_star2"
"416" "227173" "107" "2519" "90" "N2_EV2_star2"
"417" "227206" "109" "2510" "90" "N2_EV2_star2"
"418" "227278" "109" "2519" "90" "N2_EV2_star2"
"419" "227333" "112" "2511" "90" "N2_EV2_star2"
"420" "227316" "111" "2506" "90" "N2_EV2_star2"
"421" "229293" "118" "2517" "95" "N2_EV2_star2"
"422" "229816" "112" "2532" "95" "N2_EV2_star2"
"423" "229429" "123" "2508" "95" "N2_EV2_star2"
"424" "229632" "114" "2535" "95" "N2_EV2_star2"
"425" "229348" "116" "2521" "95" "N2_EV2_star2"
"426" "229535" "113" "2528" "95" "N2_EV2_star2"
"427" "229698" "115" "2526" "95" "N2_EV2_star2"
"428" "229619" "108" "2519" "95" "N2_EV2_star2"
"429" "229865" "113" "2532" "95" "N2_EV2_star2"
"430" "229402" "115" "2542" "95" "N2_EV2_star2"
"431" "229574" "122" "2513" "95" "N2_EV2_star2"
"432" "229256" "104" "2507" "95" "N2_EV2_star2"
"433" "229504" "115" "2514" "95" "N2_EV2_star2"
"434" "229459" "119" "2519" "95" "N2_EV2_star2"
"435" "229842" "115" "2519" "95" "N2_EV2_star2"
"436" "231536" "125" "2532" "100" "N2_EV2_star2"
"437" "231812" "110" "2522" "100" "N2_EV2_star2"
"438" "231876" "114" "2532" "100" "N2_EV2_star2"
"439" "231831" "114" "2532" "100" "N2_EV2_star2"
"440" "231667" "120" "2528" "100" "N2_EV2_star2"
"441" "231639" "107" "2546" "100" "N2_EV2_star2"
"442" "231686" "119" "2537" "100" "N2_EV2_star2"
"443" "231963" "120" "2546" "100" "N2_EV2_star2"
"444" "231951" "118" "2537" "100" "N2_EV2_star2"
"445" "232002" "112" "2548" "100" "N2_EV2_star2"
"446" "231748" "115" "2539" "100" "N2_EV2_star2"
"447" "231559" "119" "2526" "100" "N2_EV2_star2"
"448" "231799" "119" "2524" "100" "N2_EV2_star2"
"449" "231600" "114" "2533" "100" "N2_EV2_star2"
"450" "232070" "115" "2542" "100" "N2_EV2_star2"
"451" "26560" "22" "568" "1" "N2_RNAi1_star2"
"452" "26315" "19" "539" "1" "N2_RNAi1_star2"
"453" "26631" "14" "547" "1" "N2_RNAi1_star2"
"454" "26704" "15" "598" "1" "N2_RNAi1_star2"
"455" "26632" "24" "552" "1" "N2_RNAi1_star2"
"456" "26445" "14" "585" "1" "N2_RNAi1_star2"
"457" "26456" "20" "559" "1" "N2_RNAi1_star2"
"458" "26653" "16" "560" "1" "N2_RNAi1_star2"
"459" "26508" "19" "522" "1" "N2_RNAi1_star2"
"460" "26474" "19" "548" "1" "N2_RNAi1_star2"
"461" "26257" "19" "580" "1" "N2_RNAi1_star2"
"462" "26636" "18" "579" "1" "N2_RNAi1_star2"
"463" "26264" "15" "548" "1" "N2_RNAi1_star2"
"464" "26351" "15" "538" "1" "N2_RNAi1_star2"
"465" "26596" "22" "551" "1" "N2_RNAi1_star2"
"466" "45143" "21" "852" "2" "N2_RNAi1_star2"
"467" "45077" "30" "840" "2" "N2_RNAi1_star2"
"468" "44951" "26" "838" "2" "N2_RNAi1_star2"
"469" "44880" "29" "819" "2" "N2_RNAi1_star2"
"470" "45098" "25" "872" "2" "N2_RNAi1_star2"
"471" "45275" "33" "854" "2" "N2_RNAi1_star2"
"472" "45033" "29" "855" "2" "N2_RNAi1_star2"
"473" "45304" "29" "821" "2" "N2_RNAi1_star2"
"474" "45052" "34" "862" "2" "N2_RNAi1_star2"
"475" "45374" "28" "848" "2" "N2_RNAi1_star2"
"476" "45175" "27" "872" "2" "N2_RNAi1_star2"
"477" "45008" "29" "844" "2" "N2_RNAi1_star2"
"478" "45071" "31" "844" "2" "N2_RNAi1_star2"
"479" "45291" "30" "846" "2" "N2_RNAi1_star2"
"480" "45268" "30" "832" "2" "N2_RNAi1_star2"
